CRUISE6,CRUISE,STRATUM,TOW,STATION,STATUS_CODE,ID,SVSPP,CATCHSEX,INDID,LENGTH,INDWT,SEX,MATURITY,AGE,AGE_DATA_FLAG,STOM_VOLUME,STOM_WGT,CUTTER,RECORDER,IND_FISH_COMMENTS
197906,979,06310,017,0029,10,197906063100170029,401,,,7.7,,0,,2, ,,, , , 
197906,979,06310,017,0029,10,197906063100170029,401,,,7.2,,0,,2, ,,, , , 
197906,979,06310,017,0029,10,197906063100170029,401,,,6.8,,0,,2, ,,, , , 
197906,979,06310,017,0029,10,197906063100170029,401,,,6.4,,0,,2, ,,, , , 
197906,979,06310,017,0029,10,197906063100170029,401,,,6.2,,0,,2, ,,, , , 
197906,979,06310,017,0029,10,197906063100170029,401,,,5.5,,0,,2, ,,, , , 
197906,979,06310,017,0029,10,197906063100170029,401,,,0.77,,0,,3, ,,, , , 
197906,979,06310,017,0029,10,197906063100170029,401,,,0.9,,0,,4, ,,, , , 
197906,979,06310,022,0031,10,197906063100220031,401,,,8.7,,0,,3, ,,, , , 
197906,979,06310,022,0031,10,197906063100220031,401,,,6.8,,0,,2, ,,, , , 
197906,979,06310,022,0031,10,197906063100220031,401,,,8.1,,0,,3, ,,, , , 
197906,979,06310,022,0031,10,197906063100220031,401,,,10.4,,0,,4, ,,, , , 
197906,979,06310,022,0031,10,197906063100220031,401,,,11.1,,0,,4, ,,, , , 
197906,979,06310,022,0031,10,197906063100220031,401,,,6.8,,0,,2, ,,, , , 
197906,979,06310,022,0031,10,197906063100220031,401,,,7,,0,,2, ,,, , , 
197906,979,06310,022,0031,10,197906063100220031,401,,,7,,0,,2, ,,, , , 
197906,979,06310,022,0031,10,197906063100220031,401,,,8.3,,0,,3, ,,, , , 
197906,979,06310,022,0031,10,197906063100220031,401,,,12,,0,,6, ,,, , , 
197906,979,06310,022,0031,10,197906063100220031,401,,,11.2,,0,,5, ,,, , , 
197906,979,06310,022,0031,10,197906063100220031,401,,,11,,0,,4, ,,, , , 
197906,979,06310,022,0031,10,197906063100220031,401,,,10.9,,0,,4, ,,, , , 
197906,979,06310,022,0031,10,197906063100220031,401,,,10.7,,0,,4, ,,, , , 
197906,979,06310,022,0031,10,197906063100220031,401,,,10,,0,,4, ,,, , , 
197906,979,06310,022,0031,10,197906063100220031,401,,,9,,0,,3, ,,, , , 
197906,979,06310,022,0031,10,197906063100220031,401,,,12.4,,0,,6, ,,, , , 
197906,979,06310,009,0032,10,197906063100090032,401,,,11.5,,0,,7, ,,, , , 
197906,979,06310,009,0032,10,197906063100090032,401,,,12,,0,,7, ,,, , , 
197906,979,06310,011,0033,10,197906063100110033,401,,,10.9,,0,,5, ,,, , , 
